pupilid,tracking,girl,agetest,bottomhalf,percentile,totalscore,act_track
8901029,0,1,7,1,28.78788,,0
8901031,0,1,9,1,31.31313,,0
8901035,0,1,8,1,34.34343,6.371428,0
8901037,0,1,8,1,36.86869,20.23571,0
8901039,0,1,10,1,40.40404,,0
8901041,0,1,8,1,41.9192,14.8,0
8901043,0,1,9,1,42.92929,20.42143,0
8901047,0,1,8,1,47.47475,4.842857,0
8901049,0,1,9,1,48.48485,7.607143,0
8901051,0,1,8,0,51.51515,,0
8901053,0,1,8,0,53.0303,,0
8901055,0,1,10,0,59.09091,,0
8901063,0,1,9,0,63.63636,,0
8901067,0,1,10,0,67.67677,12.60714,0
8901069,0,1,11,0,70.20203,25.82143,0
8901072,0,0,11,0,71.71717,15.63571,0
8901076,0,0,9,0,75.75758,10.35714,0
8901078,0,0,11,0,78.28283,,0
8901080,0,0,10,0,80.80808,19.95714,0
8901084,0,0,10,0,85.35354,11.16429,0
8901090,0,0,9,0,89.89899,11.8,0
8901094,0,0,7,0,94.44444,7.314286,0
8901096,0,0,9,0,98.48485,8.007143,0
8901098,0,0,10,0,97.9798,10.97143,0
8921001,1,1,,1,2.688169,,1
8921002,1,1,,1,4.301077,,1
8921004,1,0,,1,5.376345,,1
8921005,1,1,8,1,6.989246,1.264286,1
8921006,1,1,8,1,8.064514,6.4,1
8921008,1,0,8,1,11.29032,7.542857,1
8921009,1,1,9,1,10.75269,10,1
8921010,1,0,10,1,12.36559,2.25,1
8921011,1,0,10,1,13.44086,7.442857,1
8921012,1,1,7,1,14.51613,14.48571,1
8921014,1,1,8,1,16.66667,6.2,1
8921017,1,1,6,1,19.89247,7.378572,1
8921018,1,0,13,1,21.50538,7,1
8921020,1,1,8,1,22.58065,2.25,1
8921021,1,1,7,1,24.73118,14.21429,1
8921023,1,1,9,1,25.80645,4.5,1
8921024,1,0,,1,28.49462,,1
8921026,1,0,10,1,29.56989,8.185715,1
8921027,1,0,10,1,30.64516,9.835714,1
8921028,1,1,9,1,31.72043,23.54286,1
8921030,1,1,9,1,33.87097,14.32857,1
8921031,1,0,13,1,34.94624,6.442857,1
8921033,1,0,,1,37.63441,,1
8921034,1,1,7,1,39.24731,20.72143,1
8921036,1,1,10,1,40.32258,,1
8921037,1,0,8,1,41.39785,8.992857,1
8921039,1,0,9,1,47.31183,8.185715,1
8921040,1,1,16,1,46.23656,7.964286,1
8921041,1,1,9,1,46.23656,10.47143,1
8921042,1,1,6,1,46.23656,,1
8921043,1,0,10,0,50.53764,,0
8921044,1,1,9,1,48.3871,13.26429,1
8921045,1,0,8,0,54.30108,4.028572,0
8931005,0,0,7,,,0.6857143,0
8931007,0,0,8,,,13.97143,0
8931013,0,0,8,,,8.757143,0
8931015,0,0,9,,,16.87857,0
8931021,0,0,9,,,8.45,0
8931025,0,0,9,,,10.44286,0
8931027,0,0,12,,,8.042857,0
8931033,0,1,10,,,15.28571,0
8931035,0,1,9,,,10.9,0
8931043,0,1,10,,,0.5,0
8931045,0,1,9,,,10.61429,0
8931049,0,1,7,,,,0
8931051,0,1,9,,,11.00714,0
8931055,0,1,10,,,1.6,0
8931057,0,1,9,,,1.028571,0
8931065,0,0,8,,,8.285714,0
8931071,0,0,10,,,13.54286,0
8931075,0,0,9,,,2.685714,0
8931077,0,0,7,,,,0
8931078,0,0,12,,,4.2,0
8931084,0,0,8,,,3.75,0
8931086,0,0,9,,,,0
8931088,0,0,9,,,9.085714,0
8931092,0,1,9,,,15.32857,0
8931100,0,1,10,,,8.014286,0
8931102,0,1,9,,,8.985714,0
8931108,0,1,9,,,18.01429,0
8931110,0,1,8,,,14.5,0
8931118,0,1,9,,,8.65,0
8951003,0,1,,1,5.29412,,0
8951005,0,1,7,0,64.70588,11.84286,0
8951007,0,1,8,1,35.88235,0.15,0
8951009,0,1,9,0,71.7647,11.77143,0
8951013,0,1,7,0,82.35294,,0
8951015,0,1,10,0,69.41177,8.75,0
8951017,0,1,8,1,9.411764,9,0
8951023,0,1,7,1,28.23529,3.5,0
8951025,0,1,7,1,32.94117,8.771429,0
8951027,0,1,7,0,54.70588,,0
8951031,0,1,9,0,69.41177,7.757143,0
8951033,0,1,8,1,26.47059,,0
8951037,0,1,7,1,38.82353,10.45714,0
8951041,0,1,9,0,84.70588,9.857143,0
8951045,0,1,8,0,57.64706,20.84286,0
8951047,0,1,8,1,32.94117,,0
8951049,0,1,8,0,51.76471,3.75,0
8951051,0,0,11,1,47.05882,29.82143,0
8951055,0,0,7,0,57.64706,,0
8951059,0,0,8,1,47.05882,1.2,0
8951060,0,0,9,0,89.41177,26.08572,0
8951064,0,0,8,0,99.41177,28.47143,0
8951070,0,0,10,0,57.64706,10.26429,0
8951072,0,0,9,0,51.76471,9.985714,0
8951080,0,0,7,1,23.52941,,0
8951502,0,1,8,1,11.76471,13.28571,0
8951503,0,0,6,0,69.41177,,0
8951590,0,0,8,1,4.705882,0,0
8961001,1,0,11,1,0.5681813,,1
8961003,1,0,11,1,2.840912,9.428572,1
8961004,1,0,9,1,4.545456,4.928572,1
8961006,1,0,8,1,5.681819,3.457143,1
8961008,1,0,10,1,8.522725,12.00714,1
8961009,1,1,8,1,9.659088,2,1
8961010,1,1,10,1,10.79546,12.82857,1
8961012,1,0,9,1,13.06818,5.885715,1
8961013,1,1,,1,14.20454,,1
8961015,1,1,9,1,17.61364,3.321429,1
8961016,1,0,12,1,17.04546,0,1
8961017,1,0,10,1,19.31818,8.55,1
8961019,1,0,8,1,20.45454,3.428571,1
8961020,1,0,11,1,22.15909,16.01429,1
8961021,1,0,10,1,23.29546,10.5,1
8961022,1,1,7,1,24.43182,4.5,1
8961023,1,1,9,1,25.56818,5.685714,1
8961025,1,0,9,1,27.84091,31.34286,1
8961026,1,0,9,1,28.97728,19.71428,1
8961027,1,0,8,1,30.11364,11.1,1
8961028,1,1,9,1,31.81818,9.914286,1
8961029,1,0,11,1,33.52272,6.014286,1
8961030,1,1,11,1,32.95454,11.42857,1
8961031,1,1,11,1,35.22728,20.37857,1
8961035,1,1,9,1,39.77272,22.55,1
8961036,1,1,12,1,41.47728,8.778572,1
8961037,1,1,11,1,40.90909,2.257143,1
8961038,1,1,10,1,42.61364,6.9,1
8961040,1,1,10,1,44.88636,13.72143,1
8961042,1,1,11,1,48.29546,18.7,1
8961043,1,1,11,1,47.72728,9.514286,1
8971001,1,1,,1,0.78125,,1
8971002,1,1,9,1,2.34375,0,1
